iter	RMSE
697	0.3630575631
698	0.3624703242
699	0.3622859013
700	0.3619335966
701	0.361601628
702	0.3613432701
703	0.3609637801
704	0.36048728
705	0.3599197316
706	0.3595540635
707	0.3592664946
708	0.3591469305
709	0.3589521022
710	0.3586811668
711	0.358155926
712	0.3577382411
713	0.3575564441
714	0.3570865464
715	0.3570109616
716	0.3569095901
717	0.3566741943
718	0.356617218
719	0.3563609256
720	0.3560994934
721	0.3558947774
722	0.3556053092
723	0.3554162549
724	0.355136469
725	0.3549533231
726	0.3546840453
727	0.3545214186
728	0.3541110569
729	0.3539678424
730	0.3537402659
731	0.3535472712
732	0.353368831
733	0.3531907522
734	0.3530059833
735	0.3529294291
736	0.3520864186
737	0.3519336438
738	0.3517206869
739	0.351489059
740	0.3511419852
741	0.3508101771
742	0.3505635922
743	0.3503332484
744	0.3498310545
745	0.3497128892
746	0.3496663538
747	0.3496073439
748	0.3495211647
749	0.3494030206
750	0.3492249639
751	0.3489345181
752	0.3489143319
753	0.3484378742
754	0.3479651326
755	0.3479103182
756	0.3477083328
757	0.3472553805
758	0.3471003507
759	0.3469367592
760	0.3466099257
761	0.346367605
762	0.3461234838
763	0.3459692119
764	0.3456308649
765	0.3454906704
766	0.3453042579
767	0.3449973558
768	0.3446173264
769	0.3444646251
770	0.3442201109
771	0.3437793604
772	0.3432657599
773	0.3430503704
774	0.342496166
775	0.3423542059
776	0.3422029215
777	0.341801884
778	0.3415433311
779	0.3414532776
780	0.3412127628
781	0.3407820394
782	0.3407399806
783	0.3405771879
784	0.3405235717
785	0.3404787281
786	0.3402181756
787	0.3394032724
788	0.339256076
789	0.3391062615
790	0.338778236
791	0.3386972638
792	0.3385162162
793	0.3383209327
794	0.3379055691
795	0.3377324099
796	0.3374904469
797	0.3369905928
798	0.3367985501
799	0.3365853285
800	0.3363337997
801	0.3360158149
802	0.3358713342
803	0.3355924749
804	0.3354428228
805	0.3352624497
806	0.3350712802
807	0.3349337397
808	0.3347522778
809	0.3346454393
810	0.3344232826
811	0.3341014064
812	0.3339108686
813	0.3336870201
814	0.3335884998
815	0.3333688372
816	0.3332090053
817	0.3328341295
818	0.3326634762
819	0.3324792398
820	0.3323362629
821	0.3322117045
822	0.3321751298
823	0.3317894849
824	0.3315347839
825	0.3312032957
826	0.3307392642
827	0.3304757956
828	0.330337771
829	0.3300740768
830	0.3299583197
831	0.329689149
832	0.3296536358
833	0.3295618546
834	0.3291995003
835	0.3290693708
836	0.3287581128
837	0.3285855267
838	0.3284889703
839	0.3280929122
840	0.3276794393
841	0.3272884858
842	0.3270029012
843	0.3269587968
844	0.32646292
845	0.3263492234
846	0.3261511599
847	0.3256031663
848	0.3254252606
849	0.325271337
850	0.3250723859
851	0.3248143861
852	0.3247817768
853	0.3244650089
854	0.3243367186
855	0.3241231076
856	0.3239475285
857	0.323678357
858	0.3230819554
859	0.3226386871
860	0.3224163656
861	0.3220552201
862	0.3219071174
863	0.3217604321
864	0.3215709085
865	0.3213759335
866	0.3211675299
867	0.3208914273
868	0.3207480652
869	0.32045428
870	0.320305462
871	0.3199650099
872	0.3196971835
873	0.3193964016
874	0.3190646592
875	0.3188792516
876	0.3187860778
877	0.3186176442
878	0.3184903492
879	0.3183318009
880	0.3180147232
881	0.3177258514
882	0.3176538001
883	0.3174031574
884	0.3172031334
885	0.3169281432
886	0.3166942578
887	0.3165941903
888	0.3164887115
889	0.3163345211
890	0.3160077241
891	0.3156621755
892	0.3153633317
893	0.3152217389
894	0.315061862
895	0.3148686629
896	0.3147823172
897	0.3146073579
898	0.3143866614
899	0.3142718223
900	0.314098674
901	0.3139711321
902	0.3137435149
903	0.3134869051
904	0.3133820639
905	0.3129576474
906	0.3128391376
907	0.3126620789
908	0.3124312186
909	0.3121018248
910	0.3119244253
911	0.3117473326
912	0.3115712924
913	0.3114087765
914	0.3110930177
915	0.310914909
916	0.3108090331
917	0.3106331422
918	0.310527749
919	0.3102176623
920	0.3098054548
921	0.3096254245
922	0.3093828067
923	0.3092761798
924	0.3092013575
925	0.3090063844
926	0.308856551
927	0.3086975085
928	0.3085600406
929	0.3082794445
930	0.3082458013
931	0.3080606498
932	0.3078812338
933	0.3076078571
934	0.30745882
935	0.3072551173
936	0.306915807
937	0.3068186766
938	0.3067112995
939	0.3064560754
940	0.3062628794
941	0.3060231735
942	0.3057311332
943	0.3056014398
944	0.3054226391
945	0.3053685335
946	0.305196561
947	0.3050725703
948	0.304992904
949	0.3048816453
950	0.3046399185
951	0.3045199247
952	0.3042905306
953	0.304068082
954	0.3040554032
955	0.3037740602
956	0.3034915222
957	0.3034152317
958	0.3031415617
959	0.3028157776
960	0.3025777702
961	0.3023276648
962	0.3020365793
963	0.3018929856
964	0.3017630763
965	0.3017096705
966	0.3014271502
967	0.3012010973
968	0.3010017507
969	0.3008187552
970	0.3006608487
971	0.3004543332
972	0.3003302625
973	0.3002206171
974	0.3001005187
975	0.3000278036
976	0.299898584
977	0.2996842508
978	0.2994686392
979	0.2992464351
980	0.2991417773
981	0.2989219687
982	0.2986732669
983	0.298328942
984	0.2982086158
985	0.297941243
986	0.2975508647
987	0.2974612472
988	0.2973586995
989	0.2971320592
990	0.296863116
991	0.2968521805
992	0.2965712552
993	0.2962967296
994	0.2960368168
995	0.2958133973
996	0.2956158102
997	0.2955717728
998	0.2954553718
999	0.2954461358
